#u_пр, x0.01В	i, мА
u	i
0	0
2	0
4	0
8	0
14	0.5
17	1
19	2
21	3
24	5.5
26	7
28	10
30	15
32	22
34	31
37	43
38	58
40	74
#>40 зашкал
